# 生成工具 https://github.com/whitewatercn/rimetool
# 生成时间 2025-02-18_11-10-13
---
'a'wei 阿魏
'bai'ma 白麻
'bai'ma'fen'zong 白马分鬃
'bai'ma'gu 白马骨
'bai'ma'tai 白马胎
'bai'ma'wei 白马尾
'bai'mai'fan'shi 白麦饭石
'bai'man 白鳗
'bai'mang'tu'she 白蟒吐舌
'bai'mao'gen 白茅根
'bai'mao'hua 白茅花
'bai'mao'she 白毛蛇
'bai'mao'teng 白毛藤
'bai'mao'teng'gen 白毛藤根
'bai'mao'xia'ku'cao 白毛夏枯草
'bai'mei'hua 白梅花
'bai'mei'tai 白霉苔
'bai'mi 白蜜
'bai'mian'feng 白面风
'bai'mian'gu 白面姑
'bai'mian'sha 白面痧
'bai'mian'shui'ji 白面水鸡
'bai'mo 白膜
'bai'mo'bi'jing 白膜蔽睛
'bai'mo'gen 白膜根
'bai'mo'qin'jing 白膜侵睛
'bai'mo'qin'jing'bing 白膜侵睛病
'bai'mo'ye 白膜叶
'bai'mo'zhe'jing 白膜遮睛
'bai'mu 白幕
'bai'mu'er 白木耳
'bai'mu'tong 白木通
'bai'mu'xiang 白木香
'bai'nao'sha 白硇砂
'bai'nei'zhang'zhen'bo'tao'chu'zhu 白内障针拨套出术
'bai'nian'ni'tai 白黏腻苔
'bai'niu'dan 白牛胆
'bai'niu'xi 白牛膝
'bai'nong'gan'dian 白脓疳靛
'bai'nong'gan'li 白脓疳痢
'bai'nong'li 白脓痢
'bai'ping 白苹
'bai'ping'zi 白平子
'bai'pu'gen 白朴根
'bai'qi 白气
'bai'qi'li 白气貍
'bai'qian 白前
'bai'qian'niu'san 白牵牛散
'bai'qian'tang 白前汤
'bai'qie'gen 白茄根
'bai'qing 白青
'bai'qiu 白求
'bai'qu'cai 白屈菜
'bai'qu'cai'gen 白屈菜根
'bai'ren 白仁
'bai'ren'ding 白刃疔
'bai'ri'ke 百日咳
'bai'rou 白肉
'bai'ru'ku'gu 白如枯骨
'bai'rui'cao 百蕊草
'bai'san 白散
'bai'san'qi 白三七
'bai'se'bing 白涩病
'bai'se'hou'bi 白色喉痹
'bai'se'hou'e 白色喉蛾
'bai'se'hou'feng 白色喉风
'bai'se'zheng 白涩症
'bai'sha'shen 白沙参
'bai'sha'tai 白砂苔
'bai'shang'lu 白商陆
'bai'shao 白芍
'bai'shao'tang 白芍汤
'bai'shao'yao 白芍药
'bai'she'gan 白射干
'bai'shen 白参
'bai'shen'jin 白伸筋
'bai'shi 白石
'bai'shi'can 白石参
'bai'shi'nei'jing 白氏内经
'bai'shi'sun 白石笋
'bai'shi'wai'jing 白氏外经
'bai'shi'yan'yao 白氏眼药
'bai'shi'ying 白石英
'bai'shi'zhi 白石脂
'bai'shou'wu 白首乌
'bai'shu'tai'she 白熟苔舌
'bai'shui 白水
'bai'shui'ji 白水鸡
'bai'si'lun'feng 白四轮风
'bai'su 白苏
'bai'su'geng 白苏梗
'bai'su'ye 白苏叶
'bai'su'zi 白苏子
'bai'tai 白苔
'bai'tai'gan'hei'xin'she 白苔干黑心舌
'bai'tai'hei'ban'she 白苔黑斑舌
'bai'tai'hei'gen'she 白苔黑根舌
