# 生成工具 https://github.com/whitewatercn/rimetool
# 生成时间 2025-02-18_11-10-13
---
'a'wei 阿魏
'pi'xu'shi'kun 脾虚湿困
'pi'xu'shi'kun'shang'fan'er'qiao'zheng 脾虚湿困上犯耳窍证
'pi'xu'shi'kun'xu'huo'shang'fu'zheng 脾虚湿困虚火上浮证
'pi'xu'shi'kun'zheng 脾虚湿困证
'pi'xu'shi're'zheng 脾虚湿热证
'pi'xu'shi'sheng'feng'tan'zu'luo'zheng 脾虚湿盛风痰阻络证
'pi'xu'shi'sheng'zheng 脾虚湿盛证
'pi'xu'shi'yun'zheng 脾虚失运证
'pi'xu'shi'yun'zheng 脾虚湿蕴证
'pi'xu'shi'yun'zhong'qi'bu'zu'zheng 脾虚失运中气不足证
'pi'xu'shi'zhi'zheng 脾虚湿滞证
'pi'xu'shi'zu'zheng 脾虚湿阻证
'pi'xu'shui'fan'zheng 脾虚水泛证
'pi'xu'shui'kun'zheng 脾虚水困证
'pi'xu'shui'zhong 脾虚水肿
'pi'xu'tan'sheng'zheng 脾虚痰盛证
'pi'xu'tan'shi'feng'xie'fan'er'zheng 脾虚痰湿风邪犯耳证
'pi'xu'tan'shi'zheng 脾虚痰湿证
'pi'xu'tan'zhuo'zheng 脾虚痰浊证
'pi'xu'tan'zu'zheng 脾虚痰阻证
'pi'xu'xue'kui'zheng 脾虚血亏证
'pi'xu'xue'zao'zheng 脾虚血燥证
'pi'xu'zheng 脾虚证
'pi'xu'zhong'shuai'qing'yang'bu'sheng'zheng 脾虚中衰清阳不升证
'pi'xu'zhong'shuai'zheng 脾虚中衰证
'pi'xun 皮巡
'pi'yang'bu'zhen'zheng 脾阳不振证
'pi'yang'bu'zu'zheng 脾阳不足证
'pi'yang'kui'xu'zheng 脾阳亏虚证
'pi'yang'xu 脾阳虚
'pi'yang'xu'shuai'zheng 脾阳虚衰证
'pi'yang'xu'zheng 脾阳虚证
'pi'yin'xu 脾阴虚
'pi'yin'xu'zheng 脾阴虚证
'pi'yue 脾约
'pi'yun'shi're 脾蕴湿热
'pi'zao'zheng 脾燥证
'pi'zhen 铍针
'pi'zheng 皮蒸
'pi'zhu'ji'rou 脾主肌肉
'pi'zhu'si'zhi 脾主四肢
'pi'zhu'yi'qi 脾主益气
'pi'zhu'yun'hua 脾主运化
'pian'bi 偏痹
'pian'feng 偏风
'pian'jiang'huang 片姜黄
'pian'ju 偏沮
'pian'ling 片苓
'pian'tou'feng 偏头风
'pian'zhi 胼胝
'ping'an'bing 平安饼
'ping'an'wan'ying'wan 平安万应丸
'ping'bei'mu 平贝母
'ping'bu 平补
'ping'bu'ping'xie 平补平泻
'ping'bu'zhen'xin'dan 平补镇心丹
'ping'bu'zhi'zhu'wan 平补枳术丸
'ping'cheng'zi 瓶城子
'ping'ci 平刺
'ping'dan 平旦
'ping'dan'fu 平旦服
'ping'dan're 平旦热
'ping'di'mu 平地木
'ping'diao'han're 平调寒热
'ping'er'xiao'cao 瓶尔小草
'ping'fei'mai 平肺脉
'ping'gan 平肝
'ping'gan'jiang'ni 平肝降逆
'ping'gan'kai'yu'zhi'xue'tang 平肝开郁止血汤
'ping'gan'mai 平肝脉
'ping'gan'qian'yang 平肝潜阳
'ping'gan'xi'feng 平肝息风
'ping'huo'san 平火散
'ping'ji 平剂
'ping'ji'san 平肌散
'ping'le'guo'shi'zheng'gu'fa 平乐郭氏正骨法
'ping'mai 平脉
'ping'mai'kao 平脉考
'ping'mai'lue'li 平脉略例
'ping'nu'dan 平胬丹
'ping'nue'yang'pi'wan 平疟养脾丸
'ping'pi'mai 平脾脉
'ping'qi 平气
'ping'qi'san 平气散
'ping'ren 平人
'ping'ren'jue'gu 平人绝谷
'ping'ren'qi'xiang'lun'pian 平人气象论篇
'ping'shen'mai 平肾脉
'ping'shou'tuo'ta 平手托塔
'ping'tui'fa 平推法
'ping'wei'dao'tan'tang 平胃导痰汤
'ping'wei'di'yu'tang 平胃地榆汤
'ping'wei'er'chen'tang 平胃二陈汤
'ping'wei'san 平胃散
'ping'xi 平息
'ping'xin'mai 平心脉
'ping'xue'yin 平血饮
'ping'yao'qing 平尧卿
'ping'yi'fang 平易方
'ping'zhang'ya'shou'fa 平掌押手法
'ping'zhen'fa 平针法
'ping'zhi'hui'cui 平治荟萃
'po'bu'ai 破布艾
'po'bu'ye 破布叶
'po'bu'zhan 破布粘
'po'feng'teng 破风藤
'po'gu'feng 破骨风
'po'gu'zhi 破故纸
'po'gu'zhi'san 破故纸散
'po'guan'dan 破棺丹
'po'guan'san 破棺散
'po'ji'dao'yin'wan 破积导饮丸
'po'men 魄门
'po'mi'zheng'dao'ge 破迷正道歌
'po'pi'chuang 破皮疮
'po'qi 破气
'po'san'nei'ge 破散内隔
'po'shang'feng 破伤风
'po'shang'shi 破伤湿
'po'tian'cai 破天菜
'po'tian'yun 破天云
'po'tong'qian 破铜钱
'po'tuo'rou 破脱肉
'po'xi'feng 破膝风
'po'xiao 朴硝
'po'xue 破血
'po'xue'dan 破血丹
'po'xue'hong'hua'san 破血红花散
'po'xue'san'yu'tang 破血散瘀汤
'po'xue'shang'feng 破血伤风
'po'yang'san 破阳伞
'po'yu'san'jie 破瘀散结
'po'yu'xiao'zheng 破瘀消癥
'pu'di'jin'zhong 扑地金钟
'pu'e'sha 扑蛾痧
'pu'fen 扑粉
'pu'fu'jin 葡伏堇
'pu'gong'ying 蒲公英
'pu'huang 蒲黄
'pu'huang'tan 蒲黄炭
'pu'ji'xiao'du'yin 普济消毒饮
'pu'qin 蒲芹
'pu'tian'qiu 浦天球
'qi'bao'mei'ran'dan 七宝美髯丹
'qi'bi'zheng 气闭证
'qi'bing 奇病
'qi'bu'she'jing'zheng 气不摄精证
'qi'bu'she'xue 气不摄血
'qi'bu'she'xue'zheng 气不摄血证
'qi'cao 蛴螬
'qi'chang 脐肠
'qi'chong'men 七冲门
'qi'chuan 气喘
'qi'chuang 脐疮
'qi'chuang'bing 脐疮病
'qi'dai 脐带
'qi'dai'fa 脐带法
'qi'ding 脐疔
'qi'fei'shen'dan 起废神丹
'qi'fen 脐粪
'qi'fen'da're 气分大热
'qi'fen'shi're'zheng 气分湿热证
'qi'fen'zheng 气分证
'qi'feng 脐风
'qi'feng'bing 脐风病
'qi'feng'deng'huo'fa 脐风灯火法
'qi'feng'san 脐风散
'qi'feng'san'zheng 脐风三证
'qi'feng'suo'kou'fang 脐风锁口方
'qi'fu'tong 气腹痛
'qi'gong'liao'fa 气功疗法
'qi'gu 气鼓
'qi'gu'bing 气臌病
'qi'guan 起罐
'qi'han'xie 脐寒泻
'qi'heng'zhi'fu 奇恒之府
'qi'hu'tan'zu'zheng 气胡痰阻证
'qi'hu'xi'fa 脐呼吸法
'qi'hua 气化
'qi'hua'bu'ji'pang'guang'kong'xu'zheng 气化不及膀胱空虚证
'qi'hua'bu'ji'zheng 气化不及证
'qi'hua'bu'li 气化不利
'qi'hua'zai'chun 其华在唇
'qi'hua'zai'fa 其华在发
'qi'hua'zai'mao 其华在毛
'qi'hua'zai'mian 其华在面
'qi'huo'yu'jie'zheng 气火郁结证
'qi'ji 气机
'qi'ji'bu'li'zheng 气机不利证
'qi'ji'ni'luan'zheng 气机逆乱证
'qi'ji'ni'luan'zu'se'qing'qiao'zheng 气机逆乱阻塞清窍证
'qi'ji'shi'tiao'jie'zheng 气机失调节证
'qi'ji'yu'zhi'zheng 气机郁滞证
'qi'ji'zu'zhi'zheng 气机阻滞证
'qi'jie'xue'yu'zheng 气结血瘀证
'qi'jie'yan'hou'zheng 气结咽喉证
'qi'jie'zheng 气结证
'qi'jing'ba'mai 奇经八脉
'qi'ju'di'huang'wan 杞菊地黄丸
'qi'jue 气厥
'qi'jue'bing 气厥病
'qi'li'san 七厘散
'qi'lin'bing 气淋病
'qi'liu'bing 气瘤病
'qi'lou 脐漏
'qi'lou'chuang 脐漏疮
'qi'lun'feng're'zheng 气轮风热证
'qi'lun're'zu'xue'yu'zheng 气轮热阻血瘀证
'qi'lun'shi're'zheng 气轮湿热证
'qi'luo'sheng'jiang 起落升降
'qi'ni 气逆
'qi'ni'zheng 气逆证
'qi'pang'xue 脐旁穴
'qi'pao 起泡
'qi'pao'cao 起泡草
'qi'pi 气痞
'qi'pi'fa 起脾法
'qi'po'wan'bing'wan 耆婆万病丸
'qi'qiao 七窍
'qi'qing 七情
'qi're'shuo'jin'zheng 气热烁津证
'qi're'zhuo'jin 气热灼津
'qi'shang 七伤
'qi'shang'chong 气上冲
'qi'shang'ju 脐上疽
'qi'shang'xia'wu'fen'xue 脐上下五分穴
'qi'she 蕲蛇
'qi'shi 脐湿
'qi'shi'zheng 脐石症
'qi'shuai'xue'tuo'zheng 气衰血脱证
'qi'sui'xue'tuo 气随血脱
'qi'sui'xue'tuo'zheng 气随血脱证
'qi'ta'zheng 其他证
'qi'tu 脐突
'qi'tu'bing 脐突病
'qi'tuo'zheng 气脱证
'qi'wei 气味
'qi'wei'tang 起痿汤
'qi'xia'ji 脐下悸
'qi'xia'ji'dong 脐下悸动
'qi'xia'tong 脐下痛
'qi'xian 气陷
'qi'xian'zheng 气陷证
'qi'xie 奇邪
'qi'xing'cao 七星草
'qi'xing'shui'xing 气行水行
'qi'xu 气虚
'qi'xu'bian'mi 气虚便秘
'qi'xu'bu'she'zheng 气虚不摄证
'qi'xu'bu'yun'zheng 气虚不运证
'qi'xu'du'zhi'zheng 气虚毒滞证
'qi'xu'luo'sun'zheng 气虚络损证
'qi'xu'shi'zu'zheng 气虚湿阻证
'qi'xu'shui'ting'zheng 气虚水停证
'qi'xu'tan'jie'zheng 气虚痰结证
'qi'xu'tan'zhi'zheng 气虚痰滞证
'qi'xu'xia'xian'zheng 气虚下陷证
'qi'xu'xue'kui'zheng 气虚血亏证
'qi'xu'xue'ning'zheng 气虚血凝证
'qi'xu'xue'tuo'zheng 气虚血脱证
'qi'xu'xue'yi'zheng 气虚血溢证
'qi'xu'xue'yu'zheng 气虚血瘀证
'qi'xu'xue'zhi'luo'mai'bo'yu'zu'zheng 气虚血滞络脉搏瘀阻证
'qi'xu'xue'zhi'luo'mai'tan'zu'zheng 气虚血滞络脉痰阻证
'qi'xu'xue'zhi'zheng 气虚血滞证
'qi'xu'yang'wei'zheng 气虚阳微证
'qi'xu'yu'tuo'zheng 气虚欲脱证
'qi'xu'yu'zhi'zheng 气虚瘀滞证
'qi'xu'zheng 气虚证
'qi'xue'bi'zu'zheng 气血痹阻证
'qi'xue'bing 脐血病
'qi'xue'bu'zu'shou'she'shi'si'zheng 气血不足收摄失司证
'qi'xue'bu'zu'zheng 气血不足证
'qi'xue'jin'ye 气血津液
'qi'xue'kui'xu'du'zhi'nan'hua'zheng 气血亏虚毒滞难化证
'qi'xue'kui'xu'xie'du'jiu'kun'zheng 气血亏虚邪毒久困证
'qi'xue'kui'xu'zheng 气血亏虚证
'qi'xue'liang'fan 气血两燔
'qi'xue'liang'fan'zheng 气血两燔证
'qi'xue'liang'kui'zheng 气血两亏证
'qi'xue'liang'shang'zheng 气血两伤证
'qi'xue'liang'tuo'zheng 气血两脱证
'qi'xue'liang'xu'zheng 气血两虚证
'qi'xue'ning'jie'zheng 气血凝结证
'qi'xue'ning'zhi'zheng 气血凝滞证
'qi'xue'sheng'hua'zhi'yuan 气血生化之源
'qi'xue'shi'tiao 气血失调
'qi'xue'shi'tiao'zheng 气血失调证
'qi'xue'shuai'jie'zheng 气血衰竭证
'qi'xue'yu'ji'zheng 气血瘀积证
'qi'xue'yu'zhi'zheng 气血瘀滞证
'qi'xue'yu'zu'zheng 气血瘀阻证
'qi'yang'yong'bi'zheng 气杨壅闭证
'qi'ye'hao'shang'zheng 气液耗伤证
'qi'ye'lian 七叶莲
'qi'ye'yi'zhi'hua 七叶一枝花
'qi'yin'bu'zu'zheng 气阴不足证
'qi'yin'hao'jie'zheng 气阴耗竭证
'qi'yin'hao'shang'zheng 气阴耗伤证
'qi'yin'kui'xu'shi're'nei'yun'zheng 气阴亏虚湿热内蕴证
'qi'yin'kui'xu'zheng 气阴亏虚证
'qi'yin'liang'shang'yu're'bu'jin'zheng 气阴两伤余热不尽证
'qi'yin'liang'shang'zheng 气阴两伤证
'qi'yin'liang'xu'zheng 气阴两虚证
'qi'ying 气瘿
'qi'ying'bing 气瘿病
'qi'ying'liang'fan'zheng 气营两燔证
'qi'yong 脐痈
'qi'yong'bing 脐痈病
'qi'yong'du 脐痈毒
'qi'yu 气郁
'qi'yu'hua'huo'zheng 气郁化火证
'qi'yu'hua're'zheng 气郁化热证
'qi'yu'tan'jie'zheng 气郁痰结证
'qi'yu'tan'ning'zheng 气郁痰凝证
'qi'yu'zheng 气郁证
'qi'zhang 气胀
'qi'zhen 起针
'qi'zhi 气滞
'qi'zhi're'yong'zheng 气滞热壅证
'qi'zhi'shi'zu'zheng 气滞湿阻证
'qi'zhi'shui'ting'zheng 气滞水停证
'qi'zhi'tan'ning'zheng 气滞痰凝证
'qi'zhi'tan'yu'zheng 气滞痰瘀证
'qi'zhi'tan'yu'zheng 气滞痰郁证
'qi'zhi'tan'zu'zheng 气滞痰阻证
'qi'zhi'tang 起痔汤
'qi'zhi'xiong'ge'zheng 气滞胸膈证
'qi'zhi'xue'yu 气滞血瘀
'qi'zhi'xue'yu'zheng 气滞血瘀证
'qi'zhi'xue'yu'zheng 气滞血郁证
'qi'zhi'xue'zu'zheng 气滞血阻证
'qi'zhi'yu'zu'zheng 气滞瘀阻证
'qi'zhi'zheng 气滞证
'qi'zhong 脐中
'qi'zhong 脐肿
'qi'zhong'chu'xie 脐中出血
'qi'zhong'leng 脐中冷
'qi'zhong'liu'xue 脐中流血
'qi'zhong'sheng'chuang 脐中生疮
'qi'zhong'shui 脐中水
'qi'zhong'si'bian'xue 脐中四边穴
'qi'zhong'tong 脐中痛
'qi'zi 杞子
'qi'zuo'sheng'hua 起坐生花
'qian'bo'chang 钱伯常
'qian'bo'xuan'fu'ke'yi'an 钱伯煊妇科医案
'qian'cao 茜草
'qian'cao'tan 茜草炭
'qian'ceng'ta 千层塔
'qian'chuan'cao 钱串草
'qian'da'yong 钱大用
'qian'dan 铅丹
'qian'dan'san 铅丹散
'qian'dun 钱钝
'qian'e 钱萼
'qian'gong 铅汞
'qian'guo'bin 钱国宾
'qian'heng 钱恒
'qian'hu 前胡
'qian'huang 钱潢
'qian'jin'bo 千斤拨
'qian'jin'zheng 千金正
'qian'jing'lun 钱经纶
'qian'jun'ying 钱君颖
'qian'kai 钱恺
'qian'kong 钱孔
'qian'li'guang 千里光
'qian'li'hua 千里花
'qian'li'ji 千里及
'qian'li'ming 千里明
'qian'liang'yu 钱良玉
'qian'nian'jian 千年健
'qian'niu'zi 牵牛子
'qian'qian'huo 扦扦活
'qian'qu'rong 千屈荣
'qian'ri'hong 千日红
'qian'ru'li 钱汝砺
'qian'shi 芡实
'qian'shi'er'ke'an'shu 钱氏儿科案疏
'qian'shi'jing'yan'liang'fang 钱氏经验良方
'qian'shi'qi'wei'bai'zhu'san 钱氏七味白术散
'qian'shi'xiao'er'yao'zheng'zhi'jue 钱氏小儿药证直诀
'qian'song'han 钱松汉
'qian'ti 钱悌
'qian'tian'lai 钱天来
'qian'wen'li 钱闻礼
'qian'xiu'chang 钱秀昌
'qian'xuan 钱愃
'qian'yan'qu 钱彦臞
'qian'yan'shen 钱彦深
'qian'yang 潜阳
'qian'yi 钱乙
'qian'yin 前阴
'qian'ying 钱瑛
'qian'yu'an 钱愈庵
'qian'yuan'jun 钱原濬
'qian'zhang'zhi 千张纸
'qian'zheng'san 牵正散
'qian'zhong'yang 钱仲阳
'qian'zong'dao 钱宗道
'qiang'huo 羌活
'qiang'huo'sheng'shi'tang 羌活胜湿汤
'qiang'lang 蜣螂
'qiang'zhong 强中
'qiao'bi 窍闭
'qiao'lou'zheng 窍漏证
'qiao'luo'bei'meng'zheng 窍络被蒙证
'qiao'xie 窍泄
'qiao'xue 窍穴
'qiao'yin 窍阴
'qie'gen 茄根
'qie'zhen 切诊
'qin'bo'wei 秦伯未
'qin'bo'wei'yi'wen'ji 秦伯未医文集
'qin'cai 芹菜
'qin'chang'yu 秦昌遇
'qin'cheng'zu 秦承祖
'qin'gui 秦归
'qin'gui'wan 秦桂丸
'qin'huang'shi 秦皇士
'qin'jiao 秦胶
'qin'jiao 秦艽
'qin'jiao'bai'zhu'wan 秦艽白术丸
'qin'jiao'bie'jia'san 秦艽鳖甲散
'qin'jiao'cang'zhu'tang 秦艽苍术汤
'qin'jiao'dang'gui'tang 秦艽当归汤
'qin'jiao'di'huang'tang 秦艽地黄汤
'qin'jiao'fang'feng'tang 秦艽防风汤
'qin'jiao'fu'lei'tang 秦艽扶羸汤
'qin'jiao'niu'bang'tang 秦艽牛蒡汤
'qin'jiao'qiang'huo'tang 秦艽羌活汤
'qin'jiao'san 秦椒散
'qin'jiao'san 秦艽散
'qin'jiao'sheng'ma'tang 秦艽升麻汤
'qin'jiao'tang 秦艽汤
'qin'jiao'wan 秦艽丸
'qin'jing'ming 秦景明
'qin'jiu 秦纠
'qin'ming'he 秦鸣鹤
'qin'pi 秦皮
'qin'qian'zhai 秦谦斋
'qin'shi'nei'jing'xue 秦氏内经学
'qin'wang'jiu'dan'san 秦王九疸散
'qin'xin 秦信
'qin'yue'ren 秦越人
'qin'zheng'ying 秦政应
'qin'zhi'ji 秦之济
'qin'zhi'zhen 秦之桢
'qin'zi'tong 秦子通
'qing'ban'xia 清半夏
'qing'bian'zi'tiao 清便自调
'qing'chang 清肠
'qing'dai 青黛
'qing'dai'san 清带散
'qing'dan 清胆
'qing'fei 清肺
'qing'fen 轻粉
'qing'feng'nei'zhang'bing 青风内障病
'qing'feng'teng 青风藤
'qing'gan 清肝
'qing'gu'san 清骨散
'qing'guo 青果
'qing'hao 青蒿
'qing'hao'bie'jia'tang 青蒿鳖甲汤
'qing'jie 清解
'qing'jin'jiang'huo'tang 清金降火汤
'qing'lian'qiao 青连翘
'qing'mang'bing 青盲病
'qing'meng'shi 青礞石
'qing'pi 青皮
'qing'qi 清气
'qing'qi'bu'sheng'zheng 清气不升证
'qing'qi'fen're 清气分热
'qing'qi'hua'tan'wan 清气化痰丸
'qing'qiao 清窍
'qing're 清热
'qing're'hua'tan 清热化痰
'qing're'jie'du 清热解毒
'qing're'kai'qiao 清热开窍
'qing're'li'shi 清热利湿
'qing'she 青舌
'qing'she'du'bing 青蛇毒病
'qing'shu'yi'qi'tang 清暑益气汤
'qing'tian'kui 青天葵
'qing'tui'ya'gan 青腿牙疳
'qing'wei 清胃
'qing'wei'san 清胃散
'qing'wen'bai'du'yin 清瘟败毒饮
'qing'xiang'zi 青箱子
'qing'xiang'zi 青葙子
'qing'xin 清心
'qing'xin'lian'zi'yin 清心莲子饮
'qing'xing'qi 清醒期
'qing'xu're 清虚热
'qing'yang'bu'sheng'zheng 清阳不升证
'qing'ye'dan 青叶胆
'qing'ying 清营
'qing'ying'liang'xue 清营凉血
'qing'ying'tang 清营汤
'qing'zao'jiu'fei'tang 清燥救肺汤
'qing'zhi'nei'shang'zheng 情志内伤证
'qing'zhi'shi'tiao'zheng 情志失调证
'qing'zhi'yi'yu'zheng 情志抑郁证
'qing'zhi'yu'jie'zheng 情志郁结证
'qiong'yu'gao 琼玉膏
'qiu'chu'ji 丘处机
'qiu'jing'li 丘经历
'qiu'ke'feng 丘可封
'qiu'xu 丘墟
'qiu'yin 蚯蚓
'qiu'zao'bing 秋燥病
'qiu'zhe 丘哲
'qiu'zhen 丘疹
'qiu'zhen'xing 丘疹型
'qu'du'sheng'ji 去毒生肌
'qu'e'ping'wei'san 去恶平胃散
'qu'e'qing'fei'tang 去恶清肺汤
'qu'e'qing'xin'tang 去恶清心汤
'qu'feng 祛风
'qu'fu'san 去腐散
'qu'fu'xiao'zhong 去腐消肿
'qu'huo'du 去火毒
'qu'lai'tang 去来汤
'qu'lai'xin'tong 去来心痛
'qu'lian 曲莲
'qu'mai 瞿麦
'qu'mai'cai 苣荬菜
'qu'she'xing 去蛇形
'qu'shi 祛湿
'qu'tan 祛痰
'qu'ti'ying'liu'bi'wei'deng'lei 躯体瘿瘤痹痿等类
'qu'wan'chen'cuo 去宛陈莝
'qu'xie 祛邪
'qu'you 去油
'qu'yu 祛瘀
'qu'yu'sheng'xin 去瘀生新
'qu'zhao 去爪
'qu'zhen 去针
'quan'bu'chan 全不产
'quan'can 全参
'quan'can 拳参
'quan'cao 全草
'quan'chong 全虫
'quan'dang'gui 全当归
'quan'ding'fa 拳顶法
'quan'gua'lou 全瓜蒌
'quan'heng 拳衡
'quan'jian'xue 拳尖穴
'quan'mao'dao'jie 拳毛倒睫
'quan'shou'shang 拳手伤
'quan'xie 全蝎
'que'chun 缺唇
'que'mang 雀盲
'que'mu 雀目
'que'pen 缺盆
'que'pen'cao 缺盆草
'que'pen'gu 缺盆骨
'que'pen'ju 缺盆疽
'que'ru 缺乳
'que'xue'zhong'feng 缺血中风
'ran'tai 染苔
'ran'xue'feng 冉雪峰
'ran'xue'feng'yi'an 冉雪峰医案
'rao'ce'shen'wan'ji'jian'zhou'wei'yan 桡侧伸腕肌腱周围炎
'rao'gu'gan'gu'zhe 桡骨干骨折
'rao'gu'tou'ban'tuo'wei 桡骨头半脱位
'rao'gu'tou'gu'zhe 桡骨头骨折
'rao'gu'yuan'duan'gu'zhe 桡骨远端骨折
're'bi 热痹
're'bi 热闭
're'bi'xin'bao'xue'luo'yu'zhi'zheng 热闭心包血络瘀滞证
're'bi'xin'bao'zheng 热闭心包证
're'bi'zheng 热闭证
're'bing 热病
're'bing'lao'fu 热病劳复
're'bing'wu'shi'jiu'yu 热病五十九俞
're'can 热参
're'chan 热产
're'chi'fu'shi'zheng 热炽腑实证
're'chi'jin'shang 热炽津伤
're'chuan 热喘
're'chuang 热疮
're'chuang'bing 热疮病
're'du 热毒
're'du'bi'fei'zheng 热毒闭肺证
're'du'chi'sheng're'chuan'xin'bao'zheng 热毒炽盛热传心包证
're'du'chi'sheng'xie'ru'ying'xue'zheng 热毒炽盛邪入营血证
're'du'chi'sheng'zheng 热毒炽盛证
're'du'chong'xin'zheng 热毒冲心证
're'du'chuan'fei'zheng 热毒传肺证
're'du'chuan'gan'zheng 热毒传肝证
're'du'chuan'pi'zheng 热毒传脾证
're'du'chuan'shen'zheng 热毒传肾证
're'du'chuan'xin'zheng 热毒传心证
're'du'chuang'jie 热毒疮疥
're'du'chuang'yang 热毒疮疡
're'du'feng 热毒风
're'du'gong'hou'zheng 热毒攻喉证
're'du'gong'she'zheng 热毒攻舌证
're'du'huo'sheng'zheng 热毒火盛证
're'du'li 热毒痢
're'du'luo'li 热毒瘰疬
're'du'nei'gong'zheng 热毒内攻证
're'du'nei'xian'zheng 热毒内陷证
're'du'nei'yun'zheng 热毒内蕴证
're'du'niang'nong'zheng 热毒酿脓证
're'du'ning'jie'zheng 热毒凝结证
're'du'ru'luo'zheng 热毒入络证
're'du'ru'ying'zheng 热毒入营证
're'du'shang'gong'zheng 热毒上攻证
're'du'shang'jin'zheng 热毒伤津证
're'du'shang'yin'zheng 热毒伤阴证
're'du'xia'xue 热毒下血
're'du'xian'ying'zheng 热毒陷营证
're'du'yong'jie'zheng 热毒壅结证
're'du'yong'ju'tou'mian'zheng 热毒壅聚头面证
're'du'yong'sheng'zheng 热毒壅盛证
're'du'yong'zhi'zheng 热毒壅滞证
're'du'yun'fu'zheng 热毒蕴肤证
're'du'yun'jie'zheng 热毒蕴结证
're'du'zheng 热毒证
're'e 热呃
're'e 热遏
're'fan 热烦
're'fan'fei'wei'zheng 热犯肺胃证
're'fan'ti 热烦啼
're'fei 热痱
're'fei'cao 热痱草
're'fu 热府
're'fu 热服
're'fu'chong'ren 热伏冲任
're'fu'liao'fa 热敷疗法
're'fu'shao'yang'zheng 热伏少阳证
're'fu'zhi'tong'fa 热敷止痛法
're'gan 热疳
're'ge 热膈
're'han 热汗
're'hao'zhen'yin'zheng 热耗真阴证
're'hong 热烘
're'hua 热化
're'hua'shao'yin 热化少阴
're'huo'luan 热霍乱
're'ji 热剂
're'ji 热积
're'ji'bian'mi 热积便秘
're'ji'sheng'feng 热极生风
're'ji'sheng'feng'zheng 热极生风证
're'ji'sheng'han 热极生寒
're'jie 热疖
're'jie 热结
're'jie'chang'wei 热结肠胃
're'jie'chang'zao'zheng 热结肠燥证
're'jie'fu'tong 热结腹痛
're'jie'pang'guang 热结膀胱
're'jie'pang'guang'fu'zhang 热结膀胱腹胀
're'jie'pang'liu 热结旁流
're'jie'wei'chang'zheng 热结胃肠证
're'jie'xia'jiao 热结下焦
're'jie'xiao'bian'bu'li 热结小便不利
're'jie'xiong 热结胸
're'jie'xue'shi'zheng 热结血室证
're'jie'xue'yu'zheng 热结血瘀证
're'jie'zai'li 热结在里
're'jing 热惊
're'jing 热痉
're'jiu 热灸
're'jue 热厥
're'jue'bing 热厥病
're'jue'tou'tong 热厥头痛
're'jue'xin'tong 热厥心痛
're'jue'zheng 热厥证
're'ke 热渴
're'ke'fei'jing'zheng 热客肺经证
're'ke'zhi'han 热可制寒
're'lan 热烂
're'lao 热劳
're'lei 热泪
're'lei'zheng 热泪证
're'li 热痢
're'lin 热淋
're'lin'bing 热淋病
're'liu'yin'ta'zheng 热留阴他证
're'lou 热漏
're'lu'he'tang 热六合汤
're'luan 热挛
're'lun'pian 热论篇
're'mi 热秘
're'nue 热疟
're'ou 热呕
're'pi'jian'biao'yang'xu'zheng 热痞兼表阳虚证
're'pi'zheng 热痞证
're'po'da'chang 热迫大肠
're'po'pang'guang'zheng 热迫膀胱证
're'qi 热气
're'qi'chuang 热气疮
're'qi'huo'luan 热气霍乱
're'rao'xin'shen'zheng 热扰心神证
're'rao'xiong'ge'zheng 热扰胸膈证
're'ru 热乳
're'ru'bao'gong'qi'xue'liang'fan'zheng 热入胞宫气血两燔证
're'ru'bao'gong'zheng 热入胞宫证
're'ru'fei'wei'zheng 热入肺卫证
're'ru'qi'fen'zheng 热入气分证
're'ru'xin'bao 热入心包
're'ru'xin'bao'yang'ming'fu'shi'zheng 热入心包阳明腑实证
're'ru'xin'bao'zheng 热入心包证
're'ru'xue'fen 热入血分
're'ru'xue'fen'zheng 热入血分证
're'ru'xue'jie'zheng 热入血结证
're'ru'xue'shi 热入血室
're'ru'xue'shi'bing 热入血室病
're'ru'xue'shi'zheng 热入血室证
're'ru'ying'fen'zheng 热入营分证
're'ru'ying'xue'zheng 热入营血证
're'sha 热痧
're'shan 热疝
're'shang'fei'jin'zheng 热伤肺津证
're'shang'fei'luo 热伤肺络
're'shang'fei'luo'zheng 热伤肺络证
're'shang'feng 热伤风
're'shang'feng'ke'sou 热伤风咳嗽
're'shang'jin'mai 热伤筋脉
're'shang'qi 热伤气
're'shang'qi'yin'zheng 热伤气阴证
're'shang'shen'ming 热伤神明
're'shang'shen'yin'zheng 热伤肾阴证
're'shen'fa'jing 热甚发痉
're'shen'jue'shen 热深厥深
're'sheng'dong'feng'zheng 热盛动风证
're'sheng'dong'xue'zheng 热盛动血证
're'sheng'feng'dong 热盛风动
're'sheng'jin'ku'zheng 热盛津枯证
're'sheng'niang'nong'zheng 热盛酿脓证
're'sheng'po'xue'zheng 热盛迫血证
're'sheng'qi'fen 热盛气分
're'sheng'rou'fu'zheng 热盛肉腐证
're'sheng'shang'jin 热盛伤津
're'sheng'shang'jin'zheng 热盛伤津证
're'sheng'shang'luo'zheng 热盛伤络证
're'sheng'shang'xue 热盛伤血
're'sheng'shang'yin 热盛伤阴
're'sheng'shang'yin'zheng 热盛伤阴证
're'sheng'xue'yu'zheng 热盛血瘀证
're'sheng'ze'zhong 热胜则肿
're'sheng'zhi'jue 热盛肢厥
're'shi'jie'xiong 热实结胸
're'shui'zhong 热水肿
